[2021-03-27 17:52:07]: Path: save/1616881927/ is created
[2021-03-27 17:52:14]: Start train process.
[2021-03-27 18:17:33]: | epoch   8 |  2400/ 3494 batches | rec loss 0.2891 | dis loss 0.1181 |
[2021-03-27 18:17:43]: | epoch   8 |  2600/ 3494 batches | rec loss 0.3527 | dis loss 0.1786 |
[2021-03-27 18:17:52]: | epoch   8 |  2800/ 3494 batches | rec loss 0.4021 | dis loss 0.1903 |
[2021-03-27 18:18:02]: | epoch   8 |  3000/ 3494 batches | rec loss 0.3900 | dis loss 0.2327 |
[2021-03-27 18:18:12]: | epoch   8 |  3200/ 3494 batches | rec loss 0.3191 | dis loss 0.1767 |
[2021-03-27 18:18:22]: | epoch   8 |  3400/ 3494 batches | rec loss 0.2991 | dis loss 0.1633 |
[2021-03-27 18:18:27]: | end of epoch   8 | time: 171.87s |
[2021-03-27 18:18:27]: | epoch   9 |     0/ 3494 batches | rec loss 0.4254 | dis loss 0.2117 |
[2021-03-27 18:18:37]: | epoch   9 |   200/ 3494 batches | rec loss 0.4352 | dis loss 0.3446 |
[2021-03-27 18:18:47]: | epoch   9 |   400/ 3494 batches | rec loss 0.3022 | dis loss 0.1955 |
[2021-03-27 18:18:57]: | epoch   9 |   600/ 3494 batches | rec loss 0.3513 | dis loss 0.1383 |
[2021-03-27 18:19:06]: | epoch   9 |   800/ 3494 batches | rec loss 0.3632 | dis loss 0.2071 |
[2021-03-27 18:19:16]: | epoch   9 |  1000/ 3494 batches | rec loss 0.3173 | dis loss 0.1463 |
[2021-03-27 18:19:26]: | epoch   9 |  1200/ 3494 batches | rec loss 0.3087 | dis loss 0.1875 |
[2021-03-27 18:19:36]: | epoch   9 |  1400/ 3494 batches | rec loss 0.3317 | dis loss 0.1928 |
[2021-03-27 18:19:46]: | epoch   9 |  1600/ 3494 batches | rec loss 0.3853 | dis loss 0.1403 |
[2021-03-27 18:19:56]: | epoch   9 |  1800/ 3494 batches | rec loss 0.3478 | dis loss 0.1610 |
[2021-03-27 18:20:05]: | epoch   9 |  2000/ 3494 batches | rec loss 0.3487 | dis loss 0.1894 |
[2021-03-27 18:20:15]: | epoch   9 |  2200/ 3494 batches | rec loss 0.2905 | dis loss 0.2090 |
[2021-03-27 18:20:25]: | epoch   9 |  2400/ 3494 batches | rec loss 0.2515 | dis loss 0.1388 |
[2021-03-27 18:20:35]: | epoch   9 |  2600/ 3494 batches | rec loss 0.3443 | dis loss 0.1611 |
[2021-03-27 18:20:45]: | epoch   9 |  2800/ 3494 batches | rec loss 0.3653 | dis loss 0.1857 |
[2021-03-27 18:20:55]: | epoch   9 |  3000/ 3494 batches | rec loss 0.3775 | dis loss 0.2475 |
[2021-03-27 18:21:04]: | epoch   9 |  3200/ 3494 batches | rec loss 0.3136 | dis loss 0.1522 |
[2021-03-27 18:21:14]: | epoch   9 |  3400/ 3494 batches | rec loss 0.3009 | dis loss 0.2020 |
[2021-03-27 18:21:19]: | end of epoch   9 | time: 171.96s |
[2021-03-27 18:21:19]: | epoch  10 |     0/ 3494 batches | rec loss 0.3925 | dis loss 0.2354 |
[2021-03-27 18:21:29]: | epoch  10 |   200/ 3494 batches | rec loss 0.4010 | dis loss 0.3674 |
[2021-03-27 18:21:39]: | epoch  10 |   400/ 3494 batches | rec loss 0.2977 | dis loss 0.1824 |
[2021-03-27 18:21:48]: | epoch  10 |   600/ 3494 batches | rec loss 0.3366 | dis loss 0.1435 |
[2021-03-27 18:21:58]: | epoch  10 |   800/ 3494 batches | rec loss 0.3896 | dis loss 0.2420 |
[2021-03-27 18:22:08]: | epoch  10 |  1000/ 3494 batches | rec loss 0.3061 | dis loss 0.1441 |
[2021-03-27 18:22:18]: | epoch  10 |  1200/ 3494 batches | rec loss 0.2881 | dis loss 0.1584 |
[2021-03-27 18:22:27]: | epoch  10 |  1400/ 3494 batches | rec loss 0.3172 | dis loss 0.2158 |
[2021-03-27 18:22:37]: | epoch  10 |  1600/ 3494 batches | rec loss 0.3713 | dis loss 0.1249 |
